Kernel_size,Threads,Try_1,Try_2,Try_3
3,1,3.661962 ,3.466451 ,3.479275 
3,2,1.781860 ,1.734978 ,1.732927 
3,4,1.604566 ,1.611925 ,1.592430 
3,8,1.696862 ,1.691331 ,1.648957 
3,16,1.700160 ,1.730416 ,1.707706 
5,1,8.797591 ,8.774562 ,8.763301 
5,2,4.425541 ,4.426465 ,4.455064 
5,4,4.063407 ,4.079567 ,4.056856 
5,8,4.196624 ,4.229351 ,4.231391 
5,16,4.283090 ,4.269363 ,4.263446 
7,1,16.223743 ,16.600015 ,16.240775 
7,2,8.163700 ,8.131456 ,8.132096 
7,4,7.498973 ,7.486673 ,7.480370 
7,8,7.804204 ,7.784924 ,7.833169 
7,16,7.911828 ,7.902612 ,7.925351 
9,1,26.107078 ,26.060068 ,26.084268 
9,2,13.057157 ,13.060890 ,14.176002 
9,4,12.092878 ,12.092149 ,12.090129 
9,8,12.557909 ,12.584699 ,12.538144 
9,16,12.786508 ,12.825998 ,12.782138 
11,1,42.149659 ,42.173468 ,42.452075 
11,2,21.096756 ,21.095293 ,21.166859 
11,4,18.802138 ,18.805157 ,18.784738 
11,8,19.401460 ,19.412744 ,19.386346 
11,16,19.680160 ,19.693799 ,19.697853 
13,1,57.324051 ,57.379443 ,57.335969 
13,2,28.768931 ,28.788319 ,28.813172 
13,4,25.781343 ,25.858092 ,25.804062 
13,8,26.623508 ,26.608150 ,26.641174 
13,16,27.099453 ,27.106340 ,27.270344 
15,1,75.172987 ,75.168616 ,75.160327 
15,2,38.477017 ,37.721432 ,37.718698 
15,4,33.972238 ,33.985985 ,33.964877 
15,8,35.291734 ,35.120571 ,35.205957 
15,16,35.666672 ,35.718166 ,35.783283 
