Kernel_size,Threads,Try_1,Try_2,Try_3
3,1,0.328662 ,0.328170 ,0.328825 
3,2,0.174459 ,0.184952 ,0.183312 
3,4,0.157784 ,0.157563 ,0.157576 
3,8,0.157878 ,0.158102 ,0.160253 
3,16,0.160023 ,0.158104 ,0.158468 
5,1,0.849777 ,0.848844 ,0.849124 
5,2,0.432655 ,0.453692 ,0.436184 
5,4,0.409655 ,0.410622 ,0.409557 
5,8,0.410875 ,0.411781 ,0.418426 
5,16,0.412367 ,0.412488 ,0.413832 
7,1,1.587607 ,1.588047 ,1.588543 
7,2,0.828278 ,0.817981 ,0.818478 
7,4,0.778833 ,0.779333 ,0.779330 
7,8,0.779494 ,0.782042 ,0.818988 
7,16,0.780373 ,0.780980 ,0.785668 
9,1,2.581773 ,2.565385 ,2.565880 
9,2,1.298218 ,1.303223 ,1.293996 
9,4,1.268162 ,1.268207 ,1.269078 
9,8,1.269123 ,1.276173 ,1.273545 
9,16,1.271745 ,1.276141 ,1.275357 
11,1,3.783539 ,3.781352 ,3.783687 
11,2,1.902171 ,1.894034 ,1.894204 
11,4,1.878080 ,1.879121 ,1.878863 
11,8,1.882708 ,1.885793 ,1.885978 
11,16,1.882833 ,1.881567 ,1.880348 
13,1,5.681567 ,5.679737 ,5.681306 
13,2,2.876940 ,2.849234 ,2.863514 
13,4,2.701545 ,2.702378 ,2.702409 
13,8,2.703413 ,2.728100 ,2.717758 
13,16,2.702479 ,2.704640 ,2.703999 
15,1,7.456901 ,7.449503 ,7.454345 
15,2,3.762807 ,3.744818 ,3.758445 
15,4,3.573395 ,3.569729 ,3.570416 
15,8,3.622315 ,3.568731 ,3.571038 
15,16,3.572335 ,3.571108 ,3.570287 
