Kernel_size,Threads,Try_1,Try_2,Try_3
3,1,0.481589 ,0.472591 ,0.472315 
5,1,1.137361 ,1.200147 ,1.199415 
7,1,2.273998 ,2.103172 ,2.387005 
9,1,3.416601 ,3.327594 ,3.330360 
11,1,5.093617 ,5.055978 ,5.152489 
13,1,8.119533 ,7.995009 ,7.682935 
15,1,9.907407 ,9.660032 ,9.785713 
