Kernel_size,Threads,Try_1,Try_2,Try_3
3,1,0.798241 ,0.821662 ,0.771712 
3,2,0.385598 ,0.385536 ,0.384815 
3,4,0.416386 ,0.364505 ,0.363281 
3,8,0.367945 ,0.370743 ,0.369715 
3,16,0.375856 ,0.373746 ,0.370053 
5,1,1.970948 ,1.961927 ,1.972769 
5,2,0.980736 ,0.982326 ,0.981879 
5,4,0.912044 ,0.901865 ,0.911452 
5,8,0.928890 ,0.941017 ,0.922924 
5,16,0.939249 ,0.962782 ,0.948814 
7,1,3.638281 ,3.628055 ,3.640293 
7,2,1.859544 ,1.818172 ,1.817186 
7,4,1.722470 ,1.689038 ,1.742016 
7,8,1.741055 ,1.740832 ,1.764934 
7,16,1.765081 ,1.813796 ,1.767845 
9,1,5.853412 ,5.850138 ,5.854661 
9,2,2.954937 ,2.950201 ,2.927894 
9,4,2.767538 ,2.719726 ,2.785601 
9,8,2.848924 ,2.826723 ,2.855424 
9,16,2.869071 ,2.919596 ,2.897239 
11,1,9.444843 ,9.447833 ,9.447966 
11,2,4.759080 ,4.757452 ,4.757641 
11,4,4.292312 ,4.269570 ,4.349467 
11,8,4.375865 ,4.375258 ,4.369879 
11,16,4.443675 ,4.447350 ,4.436021 
13,1,12.898000 ,12.898721 ,12.916371 
13,2,6.478242 ,6.476072 ,6.485510 
13,4,5.841110 ,5.854207 ,5.830157 
13,8,6.028005 ,6.031461 ,6.028618 
13,16,6.115314 ,6.110598 ,6.121520 
15,1,16.889763 ,16.920934 ,16.898301 
15,2,8.478249 ,8.478185 ,8.488198 
15,4,7.724305 ,7.722927 ,7.669041 
15,8,7.892666 ,7.948809 ,7.939758 
15,16,8.044569 ,8.060439 ,8.052023 
