Kernel_size,Threads,Try_1,Try_2,Try_3
3,1,0.747167 ,0.736325 ,0.736211 
3,2,0.369705 ,0.370279 ,0.371673 
3,4,0.356062 ,0.354894 ,0.363741 
3,8,0.364349 ,0.360304 ,0.361293 
3,16,0.356143 ,0.361226 ,0.358250 
5,1,1.929091 ,1.918877 ,1.918415 
5,2,0.958809 ,0.960212 ,0.958845 
5,4,0.927523 ,0.928615 ,0.925248 
5,8,0.938819 ,0.934022 ,0.942330 
5,16,0.926961 ,0.928801 ,0.928127 
7,1,3.586381 ,3.576005 ,3.573117 
7,2,1.788815 ,1.803476 ,1.812047 
7,4,1.756066 ,1.780031 ,1.754577 
7,8,1.767443 ,1.758441 ,1.762708 
7,16,1.769147 ,1.759152 ,1.762677 
9,1,5.771321 ,5.770051 ,5.771232 
9,2,2.902103 ,2.887517 ,2.888507 
9,4,2.856654 ,2.857998 ,2.856495 
9,8,2.860623 ,2.859317 ,2.865371 
9,16,2.875135 ,2.861822 ,2.862424 
11,1,8.509442 ,8.520822 ,8.508558 
11,2,4.260082 ,4.258805 ,4.259239 
11,4,4.230701 ,4.232037 ,4.232288 
11,8,4.248730 ,4.262785 ,4.236981 
11,16,4.235312 ,4.246917 ,4.235044 
13,1,12.659307 ,12.673761 ,12.652143 
13,2,6.330378 ,6.332600 ,6.335055 
13,4,6.080859 ,6.071879 ,6.071112 
13,8,6.058173 ,6.071652 ,6.072913 
13,16,6.077327 ,6.062748 ,6.081127 
15,1,16.614819 ,16.603609 ,16.604571 
15,2,8.306385 ,8.305088 ,8.306798 
15,4,8.049090 ,8.003973 ,8.004406 
15,8,8.038569 ,8.016874 ,8.010163 
15,16,8.029854 ,8.004127 ,8.004128 
