Kernel_size,Threads,Try_1,Try_2,Try_3
3,1,0.338021 ,0.333227 ,0.329557 
3,2,0.164119 ,0.164277 ,0.164384 
3,4,0.160007 ,0.158880 ,0.160113 
3,8,0.168186 ,0.163979 ,0.158627 
3,16,0.160103 ,0.161888 ,0.160080 
5,1,0.851791 ,0.853624 ,0.851919 
5,2,0.426204 ,0.427772 ,0.426220 
5,4,0.411452 ,0.413922 ,0.411102 
5,8,0.419199 ,0.420722 ,0.419249 
5,16,0.412802 ,0.412185 ,0.415154 
7,1,1.587669 ,1.587186 ,1.588535 
7,2,0.796190 ,0.794315 ,0.796163 
7,4,0.785656 ,0.781971 ,0.780166 
7,8,0.784595 ,0.793118 ,0.781946 
7,16,0.785283 ,0.781781 ,0.782410 
9,1,2.564738 ,2.566474 ,2.564176 
9,2,1.283958 ,1.282488 ,1.285055 
9,4,1.270708 ,1.271155 ,1.269766 
9,8,1.325892 ,1.284734 ,1.271080 
9,16,1.272389 ,1.276534 ,1.277090 
11,1,3.781017 ,3.782667 ,3.783453 
11,2,1.890821 ,1.891683 ,1.890980 
11,4,1.879955 ,1.882240 ,1.888432 
11,8,1.889702 ,1.885458 ,1.894914 
11,16,1.882108 ,1.885607 ,1.883428 
13,1,5.621908 ,5.621232 ,5.634048 
13,2,2.814906 ,2.813650 ,2.815270 
13,4,2.691025 ,2.694288 ,2.694738 
13,8,2.710436 ,2.699340 ,2.712964 
13,16,2.712059 ,2.696463 ,2.703385 
15,1,7.385952 ,7.390637 ,7.377625 
15,2,3.707690 ,3.692635 ,3.692245 
15,4,3.556064 ,3.556538 ,3.559836 
15,8,3.563920 ,3.570718 ,3.560840 
15,16,3.564356 ,3.561193 ,3.558408 
