Threads,Try_1,Try_2,Try_3
1,28.564512 ,28.807498 ,29.177079 
2,14.825008 ,14.296779 ,14.311946 
4,7.350616 ,7.326678 ,7.346527 
8,6.886471 ,6.992831 ,6.832658 
16,7.168819 ,6.752445 ,6.861625 
