Threads,Try_1,Try_2,Try_3
1,0.755716 ,0.758985 ,0.753701 
2,0.389303 ,0.381710 ,0.381903 
4,0.196595 ,0.195574 ,0.196252 
8,0.183242 ,0.197285 ,0.187272 
16,0.194415 ,0.196730 ,0.203885 
