Kernel_size,Threads,Try_1,Try_2,Try_3
3,1,3.426096 ,3.426569 ,3.428015 
3,2,1.730344 ,1.734016 ,1.735703 
3,4,1.550211 ,1.655355 ,1.554052 
3,8,1.620425 ,1.600657 ,1.619492 
3,16,1.639171 ,1.645674 ,1.639149 
5,1,8.756272 ,8.759172 ,8.805038 
5,2,4.408587 ,4.410773 ,4.409824 
5,4,4.062459 ,3.916114 ,3.918098 
5,8,4.071962 ,4.076704 ,4.084413 
5,16,4.156959 ,4.157475 ,4.151401 
7,1,16.377045 ,16.201996 ,16.192035 
7,2,8.131855 ,8.127563 ,8.128850 
7,4,7.313349 ,7.687612 ,7.318111 
7,8,7.608289 ,7.654178 ,7.621652 
7,16,7.766242 ,7.758055 ,7.745538 
9,1,26.070404 ,26.052646 ,26.071270 
9,2,13.076443 ,13.072968 ,13.071652 
9,4,11.826504 ,11.826462 ,11.821080 
9,8,12.317484 ,12.524656 ,12.301410 
9,16,12.520505 ,12.514031 ,12.743847 
11,1,41.528636 ,41.599712 ,41.540892 
11,2,20.886705 ,20.847681 ,20.832159 
11,4,18.267893 ,18.253934 ,18.250136 
11,8,18.951404 ,18.938071 ,18.902976 
11,16,19.269126 ,19.257957 ,19.216682 
13,1,57.038960 ,57.031078 ,57.027124 
13,2,28.600451 ,28.613200 ,29.572653 
13,4,25.094056 ,25.105276 ,25.223425 
13,8,26.120300 ,26.202500 ,26.052003 
13,16,26.564167 ,26.606179 ,26.544646 
15,1,74.768674 ,74.918696 ,75.294688 
15,2,37.655734 ,37.607670 ,37.469367 
15,4,33.104371 ,33.082853 ,33.086307 
15,8,34.437814 ,34.389748 ,34.369804 
15,16,35.076396 ,35.068365 ,35.314447 
