Kernel_size,Threads,Try_1,Try_2,Try_3
3,1,3.829065,3.837045,3.828354
3,2,2.924310,2.962238,2.934592
3,3,16.922502,13.707634,22.500820
3,4,29.764975,23.088910,22.935396
3,5,19.414398,18.471223,20.083483
3,6,25.603275,18.207750,18.959269
3,7,25.113294,18.021583,18.751295
3,8,19.402798,17.723635,18.957042
5,1,16.889610,16.843908,19.639119
5,2,7.900780,7.788323,4.329266
5,3,32.998920,28.033287,28.892631
5,4,30.874434,23.134338,23.393143
5,5,19.602248,19.885182,20.897658
5,6,23.165950,18.669275,19.069246
5,7,22.014493,18.149958,18.692062
5,8,19.990345,17.492451,18.661453
7,1,38.827829,35.518183,41.415409
7,2,13.842689,18.383937,20.063994
7,3,37.172829,44.392536,36.306391
7,4,48.634879,24.259165,25.111881
7,5,20.927361,20.802150,21.819964
7,6,26.621147,19.328642,20.332229
7,7,24.847017,18.703734,20.052737
7,8,19.889105,18.713826,19.605598
9,1,69.343219,65.224686,63.531209
9,2,20.396605,32.313443,55.372928
9,3,48.897849,39.117752,41.241697
9,4,39.850616,32.400981,27.352085
9,5,23.951341,22.557459,22.811205
9,6,30.644389,21.149089,22.533290
9,7,28.851436,20.752177,22.140822
9,8,29.541101,19.896559,20.463957
11,1,105.127610,87.012097,103.120277
11,2,33.419184,51.995722,48.413644
11,3,73.848395,54.332619,66.541129
11,4,56.795447,46.527841,50.010993
11,5,29.996581,35.446286,30.953676
11,6,38.142883,23.821652,31.720173
11,7,31.802061,27.620709,21.993648
11,8,22.835956,23.328427,21.525811
13,1,150.613014,132.358460,129.012556
13,2,79.337568,95.540552,79.551190
13,3,72.271981,55.804734,65.419778
13,4,71.622069,65.406051,64.162477
13,5,46.363889,39.585482,37.419739
13,6,46.765783,43.600253,45.771426
13,7,41.583188,32.314645,26.150641
13,8,28.371588,25.019407,28.442015
15,1,193.724022,179.389223,179.269412
15,2,102.177649,102.464064,103.475681
15,3,74.092357,81.231595,72.807274
15,4,67.763701,70.657372,68.800105
15,5,52.042347,63.584814,59.047567
15,6,58.025969,52.813775,55.361861
15,7,52.472400,39.713455,35.081578
15,8,35.650851,31.467537,35.609700
