Kernel_size,Threads,Try_1,Try_2,Try_3
3,1,0.390813,0.393160,0.390278
3,2,0.363687,0.369368,0.366089
3,3,5.289028,2.481414,2.335584
3,4,5.665329,2.748800,2.743962
3,5,2.460757,2.455488,2.453974
3,6,6.118136,3.288771,2.885714
3,7,6.687586,3.846114,3.422196
3,8,3.913162,3.913249,4.012088
5,1,0.667673,0.668489,0.666611
5,2,0.496726,0.494392,0.497431
5,3,3.404170,2.556759,2.695895
5,4,4.050924,2.803864,2.668516
5,5,2.495483,2.492921,2.636398
5,6,4.294398,3.322771,2.904280
5,7,5.413343,3.730900,3.454329
5,8,3.924942,3.936347,4.066136
7,1,1.095086,1.098701,1.100895
7,2,0.712088,0.705242,0.706316
7,3,3.664664,2.567688,2.428506
7,4,4.157623,2.900946,3.039878
7,5,2.569005,2.582801,2.577073
7,6,4.353772,3.523245,2.965729
7,7,5.465448,3.788818,3.519786
7,8,3.976544,3.977847,4.072044
9,1,1.661792,1.661245,1.662558
9,2,1.019046,0.990931,0.987336
9,3,4.005013,2.764250,2.618049
9,4,4.284318,3.041013,3.041063
9,5,2.683436,2.693601,2.823430
9,6,5.140628,3.472184,3.057151
9,7,4.839667,3.867424,3.589161
9,8,4.183876,4.049205,4.144395
11,1,2.387771,2.388612,2.387350
11,2,1.347350,1.342806,1.350327
11,3,3.975053,2.995513,3.253043
11,4,4.184153,3.490255,3.079193
11,5,2.823678,3.107308,2.838726
11,6,4.568498,3.587396,3.169926
11,7,5.641695,3.962447,3.695341
11,8,4.138360,4.263204,4.237341
13,1,3.224681,3.225276,3.229164
13,2,1.805417,1.797942,1.764321
13,3,4.369665,3.386711,3.534154
13,4,4.678218,3.427502,3.291331
13,5,2.990525,3.127187,3.132912
13,6,5.395093,3.729718,3.318251
13,7,5.754193,3.953645,3.806381
13,8,4.245616,4.375515,4.336193
15,1,4.216206,4.204502,4.210716
15,2,2.254264,2.254994,2.254306
15,3,4.696156,3.998448,3.587797
15,4,4.913152,3.676525,3.527722
15,5,3.332864,3.189002,3.334591
15,6,5.557148,3.756218,3.471093
15,7,5.894087,4.077992,3.871857
15,8,4.510324,4.363809,4.700224
