Num_blocks,Threads,Try_1,Try_2,Try_3
1,2,17.495676,17.612046,17.849964
1,4,10.273309,10.255687,10.338592
1,8,6.102161,6.188797,6.183152
1,16,4.068786,4.095930,4.069473
1,32,3.040287,3.019356,3.042716
1,64,2.572050,2.549274,2.572533
1,128,2.270305,2.366339,2.304111
1,256,2.198797,2.162813,2.177317
2,2,9.940865,9.969680,9.930753
2,4,6.192970,6.132295,6.162740
2,8,4.075651,4.302841,4.082085
2,16,3.000748,3.021532,3.007689
2,32,2.458522,2.484736,2.556586
2,64,2.290337,2.311739,2.312995
2,128,2.228322,2.199157,2.148651
2,256,2.063146,2.091582,2.050593
7,2,4.225489,4.281289,4.251627
7,4,3.255187,3.202281,3.179012
7,8,2.600063,2.563113,2.616525
7,16,2.252138,2.284081,2.264688
7,32,2.128432,2.089403,2.069341
7,64,2.020426,1.998500,2.041742
7,128,1.998573,1.960475,1.945161
7,256,1.999357,1.960558,1.970601
14,2,3.129874,3.135120,3.130709
14,4,2.558520,2.651936,2.573878
14,8,2.276441,2.269373,2.386259
14,16,2.105916,2.185312,2.100082
14,32,2.011325,2.026810,2.062693
14,64,2.022168,1.954203,1.966938
14,128,1.943287,1.970762,1.968610
14,256,1.928173,1.947148,1.955449
21,2,3.721406,3.545330,3.540753
21,4,2.848783,2.940603,2.883657
21,8,2.485195,2.390064,2.417795
21,16,2.295022,2.286318,2.175276
21,32,2.088092,2.116864,2.082938
21,64,2.160538,2.037008,2.018727
21,128,1.994983,1.990676,1.930984
21,256,1.949781,2.039572,1.942582
28,2,3.117620,3.149745,3.080686
28,4,2.585219,2.642362,2.583858
28,8,2.299289,2.311044,2.263749
28,16,2.123544,2.119860,2.105019
28,32,2.005039,1.991653,2.049485
28,64,1.998052,1.964701,1.974753
28,128,1.947519,1.970761,2.003818
28,256,1.967318,1.989086,1.964418
