Num_blocks,Threads,Try_1,Try_2,Try_3
1,2,4.088474,4.098083,4.095358
1,4,2.397578,2.369088,2.402171
1,8,1.463935,1.466400,1.490187
1,16,0.995940,1.000821,0.989594
1,32,0.755447,0.760705,0.726231
1,64,0.617227,0.610960,0.646070
1,128,0.579722,0.556218,0.587598
1,256,0.543025,0.576885,0.539485
2,2,2.308750,2.317108,2.322602
2,4,1.468133,1.437194,1.451707
2,8,0.991328,0.964796,0.998207
2,16,0.728153,0.725719,0.762137
2,32,0.602455,0.641313,0.601282
2,64,0.538861,0.585268,0.546836
2,128,0.513567,0.509812,0.571619
2,256,0.498990,0.512326,0.560614
7,2,1.107060,1.108206,1.096800
7,4,0.824055,0.786149,0.797085
7,8,0.660819,0.681512,0.667632
7,16,0.568632,0.558631,0.574046
7,32,0.507339,0.540970,0.560193
7,64,0.538614,0.542443,0.536882
7,128,0.536009,0.535750,0.534324
7,256,0.480945,0.475722,0.528767
14,2,0.856143,0.826006,0.857428
14,4,0.655259,0.671155,0.687037
14,8,0.575478,0.575491,0.609150
14,16,0.509580,0.526188,0.583796
14,32,0.513291,0.546748,0.511818
14,64,0.534624,0.483267,0.501693
14,128,0.475603,0.492530,0.520125
14,256,0.492434,0.522696,0.467831
21,2,1.270989,1.247236,1.216653
21,4,0.888952,0.866201,0.868684
21,8,0.679948,0.710770,0.681822
21,16,0.611752,0.579599,0.639993
21,32,0.536087,0.538024,0.535317
21,64,0.554214,0.523837,0.544486
21,128,0.504754,0.485877,0.532484
21,256,0.499983,0.526472,0.498223
28,2,0.894931,0.831055,0.856083
28,4,0.661110,0.688275,0.660607
28,8,0.609525,0.575569,0.619026
28,16,0.576679,0.546692,0.586897
28,32,0.511819,0.551402,0.518448
28,64,0.533983,0.528693,0.530270
28,128,0.520804,0.526110,0.525184
28,256,0.521100,0.473086,0.516092
