Num_blocks,Threads,Kernel_size,Try_1,Try_2,Try_3
1,128,3,2.036490,1.682741,1.680571
1,128,5,2.005572,2.003122,2.013870
1,128,7,2.633855,2.632132,2.631415
1,128,9,3.714713,3.712133,3.714234
1,128,11,4.842350,4.837134,4.840939
1,128,13,5.621882,5.624238,5.621250
1,128,15,7.104918,7.116118,7.104363
1,192,3,1.543441,1.543755,1.543364
1,192,5,1.756468,1.758037,1.755136
1,192,7,2.209575,2.213995,2.210806
1,192,9,2.948762,2.940473,2.937617
1,192,11,3.728338,3.729806,3.724308
1,192,13,4.561064,4.564169,4.560530
1,192,15,5.732407,5.732202,5.732786
1,256,3,1.469248,1.467901,1.468903
1,256,5,1.604293,1.604048,1.603910
1,256,7,1.943277,1.943800,1.933105
1,256,9,2.473666,2.474017,2.475903
1,256,11,3.074763,3.074454,3.072834
1,256,13,3.692498,3.690609,3.692031
1,256,15,4.582621,4.574148,4.575476
3,128,3,1.379036,1.378951,1.379473
3,128,5,1.424585,1.421755,1.426056
3,128,7,1.605752,1.606264,1.606875
3,128,9,1.944180,1.943030,1.942412
3,128,11,2.330466,2.323937,2.332898
3,128,13,2.642694,2.642758,2.643122
3,128,15,3.172730,3.174021,3.184052
3,192,3,6.132139,6.142836,6.133666
3,192,5,10.305389,10.304952,10.307566
3,192,7,17.443576,17.429143,17.428350
3,192,9,29.005096,29.004916,29.006241
3,192,11,40.959633,40.958807,40.975415
3,192,13,48.359211,48.359735,48.358410
3,192,15,63.590653,63.587200,63.587574
3,256,3,1.302966,1.314973,1.307264
3,256,5,1.271572,1.271391,1.271600
3,256,7,1.322896,1.322734,1.322466
3,256,9,1.459460,1.459797,1.458162
3,256,11,1.621666,1.631862,1.631366
3,256,13,1.753850,1.753568,1.759239
3,256,15,1.996799,1.998411,1.991074
6,128,3,1.305049,1.303824,1.304051
6,128,5,1.284053,1.271493,1.274007
6,128,7,1.323403,1.324057,1.323153
6,128,9,1.459089,1.458666,1.459185
6,128,11,1.632680,1.622614,1.622985
6,128,13,1.757977,1.757524,1.759584
6,128,15,1.993381,1.996261,1.995043
6,192,3,6.100178,6.102201,6.100494
6,192,5,10.239061,10.249349,10.238344
6,192,7,17.322097,17.310454,17.411638
6,192,9,28.820720,28.823534,28.822013
6,192,11,40.692640,40.694246,40.691617
6,192,13,48.015783,48.024079,48.017621
6,192,15,63.127698,63.133210,63.129902
6,256,3,10.883270,10.883544,10.884137
6,256,5,19.198750,19.191548,19.187035
6,256,7,33.254129,33.252384,33.564630
6,256,9,56.053194,56.054620,56.054864
6,256,11,79.573893,79.575960,79.574861
6,256,13,94.086434,94.075720,94.074434
6,256,15,123.992887,124.011600,123.992068
