Num_blocks,Threads,Try_1,Try_2,Try_3
1,2,1.693455,1.691921,1.694223
1,4,0.934486,0.920632,0.926881
1,8,0.525607,0.515130,0.509008
1,16,0.321184,0.300191,0.318960
1,32,0.200921,0.209800,0.188646
1,64,0.134145,0.135600,0.135365
1,128,0.111661,0.112890,0.109891
1,256,0.127219,0.106571,0.111425
2,2,0.924129,0.876857,0.895240
2,4,0.513857,0.498428,0.497058
2,8,0.309982,0.310559,0.297611
2,16,0.206337,0.209823,0.191986
2,32,0.136201,0.146232,0.149363
2,64,0.108560,0.121978,0.139646
2,128,0.126556,0.110428,0.113128
2,256,0.096034,0.098781,0.097557
7,2,0.402612,0.352520,0.351066
7,4,0.234737,0.243303,0.221630
7,8,0.152475,0.170630,0.153923
7,16,0.141905,0.136123,0.152820
7,32,0.122623,0.105571,0.106945
7,64,0.096601,0.097577,0.094750
7,128,0.107184,0.087989,0.090532
7,256,0.100278,0.104810,0.086420
14,2,0.469708,0.426197,0.421947
14,4,0.263651,0.247694,0.248066
14,8,0.166628,0.187349,0.166669
14,16,0.127862,0.143831,0.123200
14,32,0.105622,0.099307,0.115317
14,64,0.097441,0.101891,0.094981
14,128,0.115900,0.114852,0.092525
14,256,0.106390,0.103526,0.087272
21,2,0.352334,0.313837,0.294699
21,4,0.204812,0.189184,0.208411
21,8,0.159601,0.137581,0.162475
21,16,0.110983,0.109096,0.124066
21,32,0.101094,0.103878,0.102692
21,64,0.105950,0.097461,0.105599
21,128,0.103033,0.086868,0.089345
21,256,0.103854,0.105558,0.104242
28,2,0.458571,0.408530,0.419231
28,4,0.248476,0.247832,0.262412
28,8,0.167597,0.164945,0.188234
28,16,0.124609,0.125739,0.126489
28,32,0.123262,0.121117,0.110392
28,64,0.127794,0.112154,0.115990
28,128,0.119147,0.093530,0.102949
28,256,0.103943,0.090124,0.114695
