Num_blocks,Threads,Try_1,Try_2,Try_3
1,2,16.036985,15.996893,15.981834
1,4,8.730649,8.719633,8.709727
1,8,4.571127,4.588863,4.584220
1,16,2.523382,2.530374,2.505950
1,32,1.477756,1.467821,1.484527
1,64,0.964165,0.959233,0.993519
1,128,0.712427,0.765215,0.755825
1,256,0.639257,0.643062,0.631151
2,2,8.315617,8.349853,8.295961
2,4,4.570152,4.598629,4.575672
2,8,2.473453,2.502957,2.483802
2,16,1.460541,1.472013,1.486405
2,32,0.948156,0.938882,0.929379
2,64,0.684713,0.667358,0.684635
2,128,0.586351,0.542890,0.571299
2,256,0.515955,0.516959,0.524702
7,2,2.664407,2.679295,2.666193
7,4,1.615090,1.616223,1.637439
7,8,1.009008,1.032120,1.046902
7,16,0.710595,0.707240,0.711385
7,32,0.568717,0.577151,0.560649
7,64,0.470545,0.477621,0.484002
7,128,0.436994,0.442162,0.427413
7,256,0.418087,0.416468,0.418208
14,2,1.548735,1.539558,1.545603
14,4,1.028123,1.039533,1.025881
14,8,0.710079,0.717980,0.722070
14,16,0.548126,0.594301,0.567479
14,32,0.497994,0.475109,0.487884
14,64,0.435892,0.422694,0.434134
14,128,0.408528,0.414936,0.412391
14,256,0.406044,0.382692,0.407725
21,2,1.991818,1.968818,1.977405
21,4,1.330225,1.310595,1.317049
21,8,0.862167,0.860617,0.872813
21,16,0.654084,0.658194,0.666581
21,32,0.504812,0.500405,0.531563
21,64,0.459677,0.448379,0.442735
21,128,0.424204,0.425151,0.429749
21,256,0.403655,0.411882,0.410094
28,2,1.548175,1.539833,1.565871
28,4,1.033245,1.061099,1.067708
28,8,0.722512,0.741986,0.753406
28,16,0.581852,0.584981,0.565375
28,32,0.480873,0.484272,0.460096
28,64,0.422650,0.428589,0.434775
28,128,0.412188,0.405540,0.411841
28,256,0.380056,0.406141,0.396735
