Num_blocks,Threads,Try_1,Try_2,Try_3
1,2,1.565029,1.472199,1.491495
1,4,0.904702,0.847924,0.868798
1,8,0.565996,0.544794,0.574682
1,16,0.401028,0.412995,0.400378
1,32,0.345419,0.318674,0.334714
1,64,0.291058,0.302791,0.322364
1,128,0.278045,0.256942,0.278145
1,256,0.253455,0.254412,0.278926
2,2,0.874290,0.867250,0.846384
2,4,0.607438,0.586708,0.582764
2,8,0.417324,0.458795,0.459641
2,16,0.352047,0.371574,0.335939
2,32,0.343474,0.338193,0.336285
2,64,0.275590,0.297349,0.303625
2,128,0.257593,0.287666,0.288586
2,256,0.808336,0.745104,0.804097
7,2,0.484376,0.446378,0.440843
7,4,0.444747,0.398784,0.433235
7,8,0.436025,0.388749,0.403620
7,16,0.350321,0.372888,0.399127
7,32,0.607547,0.583599,0.569316
7,64,0.986621,1.007968,0.990478
7,128,0.994208,0.985806,1.001243
7,256,2.706146,2.661677,2.674273
14,2,0.385673,0.368044,0.401988
14,4,0.424505,0.379970,0.422193
14,8,0.377489,0.357394,0.391615
14,16,0.581239,0.578363,0.573296
14,32,0.995172,0.992173,0.993203
14,64,1.019128,0.991413,0.990293
14,128,2.666165,2.663095,2.697078
14,256,2.668865,2.667180,2.674214
21,2,0.358537,0.342753,0.397371
21,4,0.329819,0.311851,0.330222
21,8,0.484296,0.480137,0.454531
21,16,0.788761,0.776310,0.784872
21,32,1.411628,1.433906,1.407294
21,64,2.666928,2.668992,2.669658
21,128,2.696491,2.678628,2.707049
21,256,2.683156,2.710965,2.659778
28,2,0.394018,0.435933,0.375842
28,4,0.380709,0.350093,0.377613
28,8,0.597099,0.572817,0.559589
28,16,0.973897,0.972795,0.993580
28,32,0.980801,0.992117,0.986259
28,64,2.662935,2.662489,2.657111
28,128,2.692067,2.693613,2.670481
28,256,2.669451,2.670856,2.686550
